userid,label
1265311380195983365,Anti-Science
1265311969734791170,Anti-Science
1266474518257819649,Anti-Science
1267219179050012674,Anti-Science
1267865164877041666,Pro-Science
1268229412316733441,Pro-Science
1268243347275165698,Pro-Science
1268321856643198976,Pro-Science
1268766378141667328,Anti-Science
1268957285424005120,Anti-Science
1269311627666620416,Anti-Science
1269908897147621377,Pro-Science
1271551735308251136,Anti-Science
1272019052198838272,Pro-Science
1272234146228658177,Anti-Science
1272318244062281729,Pro-Science
1272870544355078146,Pro-Science
1272927203823693824,Pro-Science
1272962905399410689,Pro-Science
1273029407716802560,Pro-Science
1273175222221451271,Anti-Science
1273648912692281347,Pro-Science
1273703148968914947,Anti-Science
1274683376759451650,Anti-Science
1274886810594938880,Anti-Science
1275169789091209218,Pro-Science
1276155501827567617,Anti-Science
1276302271555477506,Anti-Science
1276544052855439363,Anti-Science
1276736179933573120,Pro-Science
1276738422229667841,Anti-Science
1277349199240032256,Anti-Science
1277498837561565184,Pro-Science
1278198664788209664,Anti-Science
1278352831808974848,Anti-Science
1278762338045136896,Pro-Science
1279489329614766081,Pro-Science
1279865889979076617,Anti-Science
1279942435800584201,Pro-Science
1280110897067970560,Pro-Science
1280316532145426432,Anti-Science
1280489388603047944,Anti-Science
1281030149329186816,Pro-Science
1281418543779573761,Anti-Science
1281942913585315840,Pro-Science
1281967147183476737,Anti-Science
1282089784026882048,Anti-Science
1282762207424589827,Pro-Science
1283109899233144832,Pro-Science
1283253828050198529,Pro-Science
1283783321600892928,Pro-Science
1285098837195907075,Pro-Science
1285620945739288577,Pro-Science
1285645312472821761,Pro-Science
1286120940623953920,Anti-Science
1286867162020196352,Pro-Science
128713812,Anti-Science
1287683281786478592,Anti-Science
1288325450184286209,Pro-Science
1288638300643905538,Anti-Science
1288925040302579712,Anti-Science
128918580,Anti-Science
1289545734237442048,Anti-Science
1290065126154887169,Anti-Science
1290380174593273856,Anti-Science
1290699666364018688,Anti-Science
1291357985877483520,Anti-Science
1291486876403142662,Anti-Science
1291560170607312896,Pro-Science
1291764137136136194,Anti-Science
1292629176021741568,Anti-Science
1292847612144553984,Pro-Science
1292924816249495570,Pro-Science
1293378965940260864,Anti-Science
1293433769836281856,Anti-Science
1294383625262309377,Anti-Science
1294424161281024001,Pro-Science
1295529478945484800,Anti-Science
1295529969666457601,Anti-Science
1295613257290571777,Anti-Science
1295730288186646528,Anti-Science
1296509025794785280,Anti-Science
1298000612236251137,Anti-Science
1298322987985145858,Anti-Science
1298437529461354496,Anti-Science
1298712001221234688,Pro-Science
1299198758501011456,Pro-Science
1299517111988035586,Anti-Science
1299643120951472129,Anti-Science
1300077592545054725,Pro-Science
1300092851376721920,Anti-Science
1300108060325797888,Anti-Science
1300199611710070784,Anti-Science
1300233822802505728,Anti-Science
1300973551760150530,Anti-Science
1301022188082925568,Anti-Science
130253700,Anti-Science
130368833,Pro-Science
1303768096268840968,Anti-Science
1303769259743408128,Anti-Science
1304420505232044034,Pro-Science
1305348715675291648,Anti-Science
1305478698867609602,Anti-Science
1305600334291705857,Pro-Science
1306243841150930944,Anti-Science
1308177816077373440,Anti-Science
1308541572955467778,Pro-Science
1308947525349462016,Anti-Science
1309211,Pro-Science
1309260095633711108,Anti-Science
1309341341734916096,Anti-Science
1309609619724152832,Pro-Science
1309894590095265792,Pro-Science
131015067,Anti-Science
1311045266,Anti-Science
1311077604426948613,Anti-Science
1312090782007013378,Pro-Science
1312276527149588480,Anti-Science
1312457845594640384,Anti-Science
1312519339074105345,Pro-Science
1313284586852380672,Anti-Science
1314000090,Anti-Science
1314179563275001856,Anti-Science
1314885799301853184,Pro-Science
1315298454122360838,Anti-Science
1315791393491750912,Anti-Science
1316939133609111552,Anti-Science
1317253307119898631,Anti-Science
1319206941277782016,Anti-Science
1321458962525523973,Pro-Science
1324164411909689344,Anti-Science
1324529300633227264,Anti-Science
1324728712772886530,Anti-Science
1324767686262464516,Anti-Science
1325927243126857731,Anti-Science
1326189607256530945,Anti-Science
1326350546954055681,Anti-Science
1327640342,Pro-Science
1327943815974559746,Anti-Science
1328984317616418817,Pro-Science
1329623759993663490,Anti-Science
1330311382634532865,Pro-Science
1330478737385795587,Anti-Science
1331007277197914112,Pro-Science
1331359237344284681,Anti-Science
1331611455414820867,Anti-Science
1331661894,Anti-Science
1332475967265271810,Pro-Science
1332659022,Anti-Science
1332681758022791168,Anti-Science
1334328596631089157,Anti-Science
1336453817949368322,Anti-Science
1337876228502675458,Anti-Science
1338520465531396104,Anti-Science
1338658088602247170,Anti-Science
133909546,Anti-Science
1339408283875110914,Anti-Science
1339436577081192451,Anti-Science
1342114352762146822,Anti-Science
1342999176058003457,Anti-Science
1343317732750548992,Anti-Science
1345404817427079168,Pro-Science
134546281,Anti-Science
1346966928653430785,Anti-Science
1347724985553604608,Pro-Science
1348132621,Pro-Science
134892923,Anti-Science
1351678755056529409,Anti-Science
1352437061056389121,Anti-Science
1353007527743643648,Pro-Science
1354242104562769925,Pro-Science
1356290748870586369,Pro-Science
1361718028447145984,Anti-Science
1361820264,Anti-Science
1362057943789809665,Anti-Science
1362087683716177920,Pro-Science
1363456010,Pro-Science
1365349827006111750,Anti-Science
1366491228150386690,Pro-Science
1367308259040854020,Anti-Science
1368336456570314757,Anti-Science
136866082,Pro-Science
1373672240877801479,Anti-Science
1375832138,Anti-Science
1378824377555386368,Anti-Science
1378873092,Anti-Science
1382005462896365581,Anti-Science
1383173731053400065,Pro-Science
1385368521937457159,Pro-Science
1388302135,Pro-Science
138843333,Pro-Science
138856401,Anti-Science
1392929390,Anti-Science
140067597,Anti-Science
1406735108,Pro-Science
141010199,Pro-Science
1410104635,Anti-Science
14121653,Pro-Science
142857008,Anti-Science
1430377490,Pro-Science
1431097274,Anti-Science
14319994,Pro-Science
1434583622,Anti-Science
14430551,Anti-Science
1446227468,Pro-Science
1448090826,Anti-Science
1452126937,Pro-Science
1452841070,Pro-Science
1459446835,Pro-Science
14596338,Anti-Science
146956535,Pro-Science
1470914318,Anti-Science
1473597588,Pro-Science
14827660,Pro-Science
1482897122,Anti-Science
1487412289,Pro-Science
1489920930,Pro-Science
149010912,Anti-Science
1494691938,Anti-Science
150098674,Pro-Science
15016409,Anti-Science
15104856,Pro-Science
