tweetid,screen_name,date,lang,text,state,friends_count,followers_count
1293030222145650689,BusyDrT,Tue Aug 11 03:43:22 +0000 2020,en,⁦@BorisJohnson⁩  Has sold out his people - shame on him for his wanton disregard for the well being of his people. #CovidPolitics #covidlockdown #covidUK  WHO  chief praises northern England lockdown as global Covid-19 cases edge towards 20 million https://t.co/gJ4UanSoW4,OH,183,58718
1293070747754274816,MsAnuJohanna,Tue Aug 11 06:24:25 +0000 2020,en,Wise words by old man in the chair The Plan to Create Unending Misery https://t.co/qnrylaZM34 #tuesdayvibes #COVID19,,8251,9639
1293151366731325440,quingem,Tue Aug 11 11:44:46 +0000 2020,en,"Vit D, Magnesium and B12 Significantly Improve COVID Outcomes https://articles.mercola (dot) com/sites/articles/archive/2020/08/11/vitamin-d-magnesium-b12-improve-covid-outcomes.aspx?cid_source=dnl&amp;cid_medium=email&amp;cid_content=art1HL&amp;cid=20200811Z1&amp;mid=DM621196&amp;rid=937846851",CA,32.0,430.0
1293164028064399362,mercola,Tue Aug 11 12:35:04 +0000 2020,en,There are many natural strategies you can implement to build your immune system to help prevent COVID-19.   ⚠️ Twitter has CENSORED my website! ✅ Visit 𝐌𝐞𝐫𝐜𝐨𝐥𝐚.𝐜𝐨𝐦 for more information  #StopCOVIDCold https://t.co/342dUFBgJb,FL,29982,289210
1293195464087658496,VegGirlQ,Tue Aug 11 14:39:59 +0000 2020,en,5 Things That Could Go Wrong With A Coronavirus Vaccine https://t.co/CCVGtVn0ji,,946,1672
1293359144372711424,BusyDrT,Wed Aug 12 01:30:24 +0000 2020,en,"Exposure doesn't mean Illness, never mind death!  Read the actual non biased #CovidScience Absence of Apparent Transmission of SARS-CoV-2 from Two Stylists... https://t.co/2x7lJwSFqX via @CDCgov",OH,181,58898
1293361711735541761,BusyDrT,Wed Aug 12 01:40:36 +0000 2020,en,"So the Experts are actually directing us to incorporate #mask wearing into our daily routine knowing full well they  increase the risk of contracting the #Virus? #Facemasks could increase risk of getting #coronavirus, medical chief warns https://t.co/UwWEav5N4a",OH,181,58902
1293390606505594880,BusyDrT,Wed Aug 12 03:35:25 +0000 2020,en,Check out the bio hazard bin for the extremely contagious hazardous covid masks at OSU children's hospital.  🤔🙄 https://t.co/t3MD4AtlxT,OH,181.0,58919.0
1293465066659086337,MsAnuJohanna,Wed Aug 12 08:31:17 +0000 2020,en,We are supposed to be on recovery now S&amp;P 500 nears record high on stimulus hopes https://t.co/n7Y9nVly08 #recession #wednesdaymorning,,8251,9637
1293466046100275200,MsAnuJohanna,Wed Aug 12 08:35:11 +0000 2020,en,The propaganda continues. Hospitals are empty https://t.co/LPHtKmXYZf #COVIDIDIOTS #COVID19,,8251,9637
1293489213783060481,MsAnuJohanna,Wed Aug 12 10:07:15 +0000 2020,en,And some people are begging for more of the same insanity https://t.co/TTPJPR2Qt7 #COVIDIDIOTS #lockdown,,8252,9639
1293644285984874498,BusyDrT,Wed Aug 12 20:23:27 +0000 2020,en,Diminishing Human Connection from every possible angle.  Where will it end or will it??? COVID-19 Lockdowns Have Led to a Huge Spike in Sex Doll Sales https://t.co/wDp0NkjkAV via @vice,OH,181,59075
1293717658718928897,CordeiroRick,Thu Aug 13 01:15:00 +0000 2020,en,666: SOCIAL DISTANCING https://t.co/rAaC0orVG6,,595345,538700
1293720559969341440,CordeiroRick,Thu Aug 13 01:26:32 +0000 2020,en,COVID-19 FACTS THAT FACEBOOK DOESN'T WANT YOU TO KNOW ABOUT... https://t.co/RhIw9I4Cwy,,595344,538692
1293799768561524736,MsAnuJohanna,Thu Aug 13 06:41:17 +0000 2020,en,"We all knew this whole thing was a hoax. Why do we still have restrictions? Because it was never about the virus Coronavirus death toll in England revised down by more than 5,000 https://t.co/SjXW54Gxrm #COVID #COVIDIDIOTS",,8253,9640
1294204746174087168,MsAnuJohanna,Fri Aug 14 09:30:31 +0000 2020,en,Like I’ve said many times NHS is dead. Record 1.9 million patients left waiting for over four months for NHS ops https://t.co/Jq74Z7RHgp #KBF #coronavirus,,8260,9651.0
1294206141917011968,MsAnuJohanna,Fri Aug 14 09:36:04 +0000 2020,en,"They’re not the only ones Couple fear they'll starve as 3,000,000 given no financial support in pandemic https://t.co/xIEvwtk6oq #Plandemic2020 #Covid_19",,8260,9650
1294207464326475776,MsAnuJohanna,Fri Aug 14 09:41:19 +0000 2020,en,Just an illusion. More enforcement put in place Coronavirus: Lockdown to ease further in England from Saturday https://t.co/b26B3nhByU #KBF #freedom #Covid_19,,8260,9650
1294208213236293632,MsAnuJohanna,Fri Aug 14 09:44:17 +0000 2020,en,"Is there still someone who believes it’s about a flu virus and your health? Politics latest news: Quarantine 'triggered' for any country with more than 20 cases per 100,000, Grant Shapps confirms https://t.co/PkVF2umxDH #KBF #Covid_19",,8262,9650
1294208874988404737,MsAnuJohanna,Fri Aug 14 09:46:55 +0000 2020,en,"These restrictions are just to train people for the future rules. If you have a vaccine you can travel, if you don’t you can’t France placed on UK travel quarantine list as coronavirus cases rise again https://t.co/UFsIHydvvo #KBF #Quarantine",,8262,9650
1294326929189941248,BusyDrT,Fri Aug 14 17:36:02 +0000 2020,en,"Most Americans?   Where YOU asked?  Do you know ANYONE who was asked?  What demographics constitute #MostAmericans? Are you guys watching what's really happening here?  #WarOnCash  #CashlessSociety  Most Americans now fear touching cash, survey says https://t.co/i1we5rqDK6",OH,183,59540
1294330754151874565,BusyDrT,Fri Aug 14 17:51:13 +0000 2020,en,Governor announces new phone app to trace COVID https://t.co/xp5sFIlqgq via @bullelephant,OH,183,59544
